# Hypertri Slow Performer History

Generated by `cargo bench --bench retained_fuzz`. Timings are best-of-five wall-clock probes of deterministic inputs shaped by the registered cargo-fuzz targets.

Latest run sampled 20000 deterministic fuzz cases. This table merges crate-local history by `family + target + input`, keeps each case's worst observed time, and retains the 1000 worst cases.

## Worst Performers

| Rank | Worst Time | Family | Target | Input |
| ---: | ---: | --- | --- | --- |
| 1 | 158.029 us | `cargo-fuzz` | `hyperreal_representations` | `seed[820]` |
| 2 | 155.560 us | `cargo-fuzz` | `topology_invariants` | `seed[569]` |
| 3 | 154.090 us | `cargo-fuzz` | `hyperreal_representations` | `seed[403]` |
| 4 | 154.059 us | `cargo-fuzz` | `hyperreal_representations` | `seed[415]` |
| 5 | 153.669 us | `cargo-fuzz` | `hyperreal_representations` | `seed[835]` |
| 6 | 153.610 us | `cargo-fuzz` | `hyperreal_representations` | `seed[877]` |
| 7 | 151.959 us | `cargo-fuzz` | `hyperreal_representations` | `seed[580]` |
| 8 | 150.730 us | `cargo-fuzz` | `hyperreal_representations` | `seed[994]` |
| 9 | 150.099 us | `cargo-fuzz` | `hyperreal_representations` | `seed[751]` |
| 10 | 149.649 us | `cargo-fuzz` | `hyperreal_representations` | `seed[709]` |
| 11 | 149.280 us | `cargo-fuzz` | `hyperreal_representations` | `seed[556]` |
| 12 | 148.919 us | `cargo-fuzz` | `hyperreal_representations` | `seed[409]` |
| 13 | 148.640 us | `cargo-fuzz` | `hyperreal_representations` | `seed[679]` |
| 14 | 148.480 us | `cargo-fuzz` | `hyperreal_representations` | `seed[805]` |
| 15 | 148.390 us | `cargo-fuzz` | `hyperreal_representations` | `seed[985]` |
| 16 | 148.059 us | `cargo-fuzz` | `hyperreal_representations` | `seed[5287]` |
| 17 | 147.830 us | `cargo-fuzz` | `hyperreal_representations` | `seed[778]` |
| 18 | 147.150 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1096]` |
| 19 | 146.200 us | `cargo-fuzz` | `hyperreal_representations` | `seed[637]` |
| 20 | 146.020 us | `cargo-fuzz` | `hyperreal_representations` | `seed[655]` |
| 21 | 145.710 us | `cargo-fuzz` | `hyperreal_representations` | `seed[469]` |
| 22 | 145.490 us | `cargo-fuzz` | `hyperreal_representations` | `seed[862]` |
| 23 | 145.370 us | `cargo-fuzz` | `hyperreal_representations` | `seed[448]` |
| 24 | 145.240 us | `cargo-fuzz` | `hyperreal_representations` | `seed[445]` |
| 25 | 144.980 us | `cargo-fuzz` | `hyperreal_representations` | `seed[520]` |
| 26 | 144.670 us | `cargo-fuzz` | `hyperreal_representations` | `seed[775]` |
| 27 | 144.020 us | `cargo-fuzz` | `hyperreal_representations` | `seed[634]` |
| 28 | 143.830 us | `cargo-fuzz` | `hyperreal_representations` | `seed[736]` |
| 29 | 143.210 us | `cargo-fuzz` | `hyperreal_representations` | `seed[622]` |
| 30 | 143.190 us | `cargo-fuzz` | `hyperreal_representations` | `seed[625]` |
| 31 | 143.160 us | `cargo-fuzz` | `hyperreal_representations` | `seed[496]` |
| 32 | 143.050 us | `cargo-fuzz` | `hyperreal_representations` | `seed[397]` |
| 33 | 142.701 us | `cargo-fuzz` | `hyperreal_representations` | `seed[406]` |
| 34 | 142.620 us | `cargo-fuzz` | `hyperreal_representations` | `seed[484]` |
| 35 | 142.611 us | `cargo-fuzz` | `hyperreal_representations` | `seed[868]` |
| 36 | 141.850 us | `cargo-fuzz` | `hyperreal_representations` | `seed[691]` |
| 37 | 141.760 us | `cargo-fuzz` | `hyperreal_representations` | `seed[865]` |
| 38 | 141.681 us | `cargo-fuzz` | `hyperreal_representations` | `seed[874]` |
| 39 | 141.440 us | `cargo-fuzz` | `hyperreal_representations` | `seed[451]` |
| 40 | 141.421 us | `cargo-fuzz` | `hyperreal_representations` | `seed[850]` |
| 41 | 141.420 us | `cargo-fuzz` | `hyperreal_representations` | `seed[832]` |
| 42 | 141.060 us | `cargo-fuzz` | `hyperreal_representations` | `seed[895]` |
| 43 | 141.030 us | `cargo-fuzz` | `hyperreal_representations` | `seed[592]` |
| 44 | 140.660 us | `cargo-fuzz` | `hyperreal_representations` | `seed[541]` |
| 45 | 140.510 us | `cargo-fuzz` | `hyperreal_representations` | `seed[613]` |
| 46 | 140.491 us | `cargo-fuzz` | `hyperreal_representations` | `seed[796]` |
| 47 | 140.271 us | `cargo-fuzz` | `hyperreal_representations` | `seed[427]` |
| 48 | 140.220 us | `cargo-fuzz` | `hyperreal_representations` | `seed[808]` |
| 49 | 140.130 us | `cargo-fuzz` | `hyperreal_representations` | `seed[823]` |
| 50 | 140.090 us | `cargo-fuzz` | `hyperreal_representations` | `seed[898]` |
| 51 | 140.030 us | `cargo-fuzz` | `hyperreal_representations` | `seed[826]` |
| 52 | 140.010 us | `cargo-fuzz` | `hyperreal_representations` | `seed[667]` |
| 53 | 139.800 us | `cargo-fuzz` | `hyperreal_representations` | `seed[598]` |
| 54 | 139.771 us | `cargo-fuzz` | `hyperreal_representations` | `seed[421]` |
| 55 | 139.610 us | `cargo-fuzz` | `hyperreal_representations` | `seed[817]` |
| 56 | 139.580 us | `cargo-fuzz` | `hyperreal_representations` | `seed[544]` |
| 57 | 139.550 us | `cargo-fuzz` | `hyperreal_representations` | `seed[490]` |
| 58 | 139.500 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3403]` |
| 59 | 139.380 us | `cargo-fuzz` | `hyperreal_representations` | `seed[838]` |
| 60 | 139.221 us | `cargo-fuzz` | `hyperreal_representations` | `seed[523]` |
| 61 | 139.201 us | `cargo-fuzz` | `hyperreal_representations` | `seed[460]` |
| 62 | 139.140 us | `cargo-fuzz` | `hyperreal_representations` | `seed[3400]` |
| 63 | 139.071 us | `cargo-fuzz` | `hyperreal_representations` | `seed[754]` |
| 64 | 139.041 us | `cargo-fuzz` | `hyperreal_representations` | `seed[769]` |
| 65 | 138.831 us | `cargo-fuzz` | `hyperreal_representations` | `seed[799]` |
| 66 | 138.750 us | `cargo-fuzz` | `hyperreal_representations` | `seed[529]` |
| 67 | 138.740 us | `cargo-fuzz` | `hyperreal_representations` | `seed[712]` |
| 68 | 138.570 us | `cargo-fuzz` | `hyperreal_representations` | `seed[892]` |
| 69 | 138.501 us | `cargo-fuzz` | `hyperreal_representations` | `seed[718]` |
| 70 | 138.001 us | `cargo-fuzz` | `hyperreal_representations` | `seed[787]` |
| 71 | 137.900 us | `cargo-fuzz` | `hyperreal_representations` | `seed[412]` |
| 72 | 137.790 us | `cargo-fuzz` | `hyperreal_representations` | `seed[499]` |
| 73 | 137.731 us | `cargo-fuzz` | `hyperreal_representations` | `seed[1618]` |
| 74 | 137.701 us | `cargo-fuzz` | `hyperreal_representations` | `seed[4267]` |
| 75 | 137.570 us | `cargo-fuzz` | `hyperreal_representations` | `seed[8287]` |
| 76 | 137.331 us | `cargo-fuzz` | `hyperreal_representations` | `seed[526]` |
| 77 | 137.310 us | `cargo-fuzz` | `hyperreal_representations` | `seed[871]` |
| 78 | 137.251 us | `cargo-fuzz` | `hyperreal_representations` | `seed[682]` |
| 79 | 137.251 us | `cargo-fuzz` | `hyperreal_representations` | `seed[745]` |
| 80 | 137.200 us | `cargo-fuzz` | `hyperreal_representations` | `seed[436]` |
| 81 | 136.770 us | `cargo-fuzz` | `hyperreal_representations` | `seed[466]` |
| 82 | 136.621 us | `cargo-fuzz` | `hyperreal_representations` | `seed[829]` |
| 83 | 136.511 us | `cargo-fuzz` | `hyperreal_representations` | `seed[673]` |
| 84 | 136.431 us | `cargo-fuzz` | `hyperreal_representations` | `seed[478]` |
| 85 | 136.360 us | `cargo-fuzz` | `hyperreal_representations` | `seed[706]` |
